,submission_date,state,tot_cases,new_case,tot_death,new_death,created_at,consent_cases,consent_deaths
0,2020-04-05T00:00:00.000,CO,4950,385.0,140,14.0,2020-04-04T16:22:39.452,Agree,Agree
1,2020-04-05T00:00:00.000,FL,11961,788.0,221,26.0,2020-04-04T16:22:39.452,Not agree,Not agree
2,2020-04-05T00:00:00.000,AZ,2269,250.0,64,12.0,2020-04-04T16:22:39.452,Agree,Agree
3,2020-04-05T00:00:00.000,SC,2049,132.0,44,4.0,2020-04-04T16:22:39.452,Agree,Agree
4,2020-04-05T00:00:00.000,CT,5675,399.0,189,24.0,2020-04-04T16:22:39.452,Agree,Agree
5,2020-04-05T00:00:00.000,NE,367,44.0,8,0.0,2020-04-04T16:22:39.452,Not agree,Not agree
6,2020-04-05T00:00:00.000,KY,955,38.0,45,5.0,2020-04-04T16:22:39.452,Agree,Agree
7,2020-04-05T00:00:00.000,WY,200,13.0,0,0.0,2020-04-04T16:22:39.452,Agree,Agree
8,2020-04-05T00:00:00.000,IA,868,82.0,22,8.0,2020-04-04T16:22:39.452,Not agree,Not agree
9,2020-04-05T00:00:00.000,NM,624,81.0,12,1.0,2020-04-04T16:22:39.452,N/A,Not agree
10,2020-04-05T00:00:00.000,ND,207,21.0,3,0.0,2020-04-04T16:22:39.452,Not agree,Not agree
11,2020-04-05T00:00:00.000,WA,6973,-618.0,337,27.0,2020-04-04T16:22:39.452,N/A,N/A
12,2020-04-05T00:00:00.000,RMI,0,0.0,0,0.0,2020-04-04T16:22:39.452,Agree,Agree
13,2020-04-05T00:00:00.000,TN,3633,530.0,44,2.0,2020-04-04T16:22:39.452,Agree,Agree
14,2020-04-05T00:00:00.000,AS,0,0.0,0,0.0,2020-04-04T16:22:39.452,,
15,2020-04-05T00:00:00.000,MA,12500,764.0,231,15.0,2020-04-04T16:22:39.452,Agree,Agree
16,2020-04-05T00:00:00.000,PA,11510,1493.0,150,14.0,2020-04-04T16:22:39.452,Agree,Not agree
17,2020-04-05T00:00:00.000,NYC,64955,4105.0,2472,218.0,2020-04-04T16:22:39.452,Agree,Agree
18,2020-04-05T00:00:00.000,OH,4043,304.0,119,17.0,2020-04-04T16:22:39.452,Agree,Agree
19,2020-04-05T00:00:00.000,AL,1841,208.0,31,5.0,2020-04-04T16:22:39.452,Agree,Agree
20,2020-04-05T00:00:00.000,VA,2878,471.0,54,2.0,2020-04-04T16:22:39.452,Agree,Agree
21,2020-04-05T00:00:00.000,MI,15718,1493.0,617,77.0,2020-04-04T16:22:39.452,Agree,Agree
22,2020-04-05T00:00:00.000,MS,1738,283.0,51,16.0,2020-04-04T16:22:39.452,Agree,Agree
23,2020-04-05T00:00:00.000,WI,2267,155.0,68,12.0,2020-04-04T16:22:39.452,Agree,Agree
24,2020-04-05T00:00:00.000,IL,11256,899.0,274,31.0,2020-04-04T16:22:39.452,Agree,Agree
25,2020-04-05T00:00:00.000,CA,13438,1412.0,319,43.0,2020-04-04T16:22:39.452,Not agree,Not agree
26,2020-04-05T00:00:00.000,TX,6812,702.0,127,22.0,2020-04-04T16:22:39.452,Not agree,Not agree
27,2020-04-05T00:00:00.000,PR,475,23.0,20,2.0,2020-04-04T16:22:39.452,Agree,Agree
28,2020-04-05T00:00:00.000,NJ,37505,3381.0,917,71.0,2020-04-04T16:22:39.452,Not agree,Agree
29,2020-04-05T00:00:00.000,NC,2870,468.0,33,9.0,2020-04-04T16:22:39.452,Agree,Agree
30,2020-04-05T00:00:00.000,LA,13010,514.0,477,68.0,2020-04-04T16:22:39.452,Not agree,Agree
31,2020-04-05T00:00:00.000,OK,1250,91.0,46,4.0,2020-04-04T16:22:39.452,Agree,Agree
32,2020-04-05T00:00:00.000,NV,1836,94.0,46,1.0,2020-04-04T16:22:39.452,,
33,2020-04-05T00:00:00.000,ID,1101,24.0,10,0.0,2020-04-04T16:22:39.452,Agree,Agree
34,2020-04-05T00:00:00.000,GA,6752,369.0,219,11.0,2020-04-04T16:22:39.452,Not agree,Not agree
35,2020-04-05T00:00:00.000,IN,4411,458.0,127,11.0,2020-04-04T16:22:39.452,Not agree,Agree
36,2020-04-05T00:00:00.000,NY,54480,4082.0,1017,451.0,2020-04-04T16:22:39.452,Not agree,Not agree
37,2020-04-05T00:00:00.000,MD,4045,920.0,91,38.0,2020-04-04T16:22:39.452,N/A,Agree
38,2020-04-05T00:00:00.000,AR,853,110.0,16,2.0,2020-04-04T16:22:39.452,Not agree,Not agree
39,2020-04-05T00:00:00.000,OR,1068,69.0,27,1.0,2020-04-04T16:22:39.452,Agree,Agree
40,2020-04-05T00:00:00.000,MN,986,121.0,29,5.0,2020-04-04T16:22:39.452,N/A,Agree
41,2020-04-05T00:00:00.000,MO,2367,76.0,34,10.0,2020-04-04T16:22:39.452,Not agree,Not agree
42,2020-04-05T00:00:00.000,UT,1605,177.0,8,0.0,2020-04-04T16:22:39.452,Agree,Agree
43,2020-04-05T00:00:00.000,WV,324,42.0,3,1.0,2020-04-04T16:22:39.452,Agree,Not agree
44,2020-04-05T00:00:00.000,DE,673,80.0,14,0.0,2020-04-04T16:22:39.452,Agree,Agree
45,2020-04-05T00:00:00.000,SD,240,28.0,2,0.0,2020-04-04T16:22:39.452,N/A,Agree
46,2020-04-05T00:00:00.000,RI,922,116.0,25,8.0,2020-04-04T16:22:39.452,Not agree,N/A
47,2020-04-05T00:00:00.000,NH,669,48.0,9,0.0,2020-04-04T16:22:39.452,Not agree,Not agree
48,2020-04-05T00:00:00.000,DC,998,96.0,22,1.0,2020-04-04T16:22:39.452,,
49,2020-04-05T00:00:00.000,KS,813,115.0,23,2.0,2020-04-04T16:22:39.452,Agree,N/A
50,2020-04-05T00:00:00.000,ME,470,14.0,10,0.0,2020-04-04T16:22:39.452,Agree,N/A
51,2020-04-05T00:00:00.000,MT,300,19.0,6,0.0,2020-04-04T16:22:39.452,Agree,Agree
52,2020-04-05T00:00:00.000,HI,324,14.0,4,0.0,2020-04-04T16:22:39.452,Not agree,Not agree
53,2020-04-05T00:00:00.000,AK,185,14.0,6,1.0,2020-04-04T16:22:39.452,N/A,N/A
54,2020-04-05T00:00:00.000,GU,110,17.0,4,0.0,2020-04-04T16:22:39.452,Not agree,Not agree
55,2020-04-05T00:00:00.000,VT,512,51.0,22,2.0,2020-04-04T16:22:39.452,Not agree,Not agree
56,2020-04-05T00:00:00.000,VI,42,0.0,1,1.0,2020-04-04T16:22:39.452,,
57,2020-04-05T00:00:00.000,MP,8,0.0,0,-1.0,2020-04-04T16:22:39.452,Agree,Agree
58,2020-04-05T00:00:00.000,FSM,0,0.0,0,0.0,2020-04-04T16:22:39.452,Agree,Agree
59,2020-04-05T00:00:00.000,PW,0,0.0,0,0.0,2020-04-04T16:22:39.452,,
