,submission_date,state,tot_cases,new_case,tot_death,new_death,created_at,consent_cases,consent_deaths,conf_cases,prob_cases,pnew_case
0,2020-04-14T00:00:00.000,CO,7941,250.0,329,21.0,2020-04-13T16:22:39.452,Agree,Agree,,,
1,2020-04-14T00:00:00.000,FL,20984,590.0,571,72.0,2020-04-13T16:22:39.452,Not agree,Not agree,,,
2,2020-04-14T00:00:00.000,AZ,3806,104.0,131,9.0,2020-04-13T16:22:39.452,Agree,Agree,,,
3,2020-04-14T00:00:00.000,SC,3553,114.0,97,10.0,2020-04-13T16:22:39.452,Agree,Agree,,,
4,2020-04-14T00:00:00.000,CT,13989,608.0,608,6.0,2020-04-13T16:22:39.452,Agree,Agree,,,
5,2020-04-14T00:00:00.000,NE,901,30.0,20,2.0,2020-04-13T16:22:39.452,Not agree,Not agree,,,
6,2020-04-14T00:00:00.000,KY,2210,162.0,115,11.0,2020-04-13T16:22:39.452,Agree,Agree,,,
7,2020-04-14T00:00:00.000,WY,494,121.0,1,0.0,2020-04-13T16:22:39.452,Agree,Agree,393.0,101,3
8,2020-04-14T00:00:00.000,IA,1899,189.0,49,6.0,2020-04-13T16:22:39.452,Not agree,Not agree,,,
9,2020-04-14T00:00:00.000,NM,1407,62.0,36,5.0,2020-04-13T16:22:39.452,N/A,Not agree,,,
10,2020-04-14T00:00:00.000,ND,341,10.0,9,1.0,2020-04-13T16:22:39.452,Not agree,Not agree,,,
11,2020-04-14T00:00:00.000,WA,10694,156.0,546,38.0,2020-04-13T16:22:39.452,N/A,N/A,,,
12,2020-04-14T00:00:00.000,RMI,0,0.0,0,0.0,2020-04-13T16:22:39.452,Agree,Agree,,,
13,2020-04-14T00:00:00.000,TN,5823,213.0,124,15.0,2020-04-13T16:22:39.452,Agree,Agree,,,
14,2020-04-14T00:00:00.000,AS,0,0.0,0,0.0,2020-04-13T16:22:39.452,,,,,
15,2020-04-14T00:00:00.000,MA,28163,1296.0,957,113.0,2020-04-13T16:22:39.452,Agree,Agree,,,
16,2020-04-14T00:00:00.000,PA,25345,1146.0,584,60.0,2020-04-13T16:22:39.452,Agree,Not agree,,,
17,2020-04-14T00:00:00.000,NYC,110091,3278.0,6640,458.0,2020-04-13T16:22:39.452,Agree,Agree,,,
18,2020-04-14T00:00:00.000,OH,7280,305.0,324,56.0,2020-04-13T16:22:39.452,Agree,Agree,7153.0,127,33
19,2020-04-14T00:00:00.000,AL,3953,150.0,73,11.0,2020-04-13T16:22:39.452,Agree,Agree,,,
20,2020-04-14T00:00:00.000,VA,6500,329.0,195,41.0,2020-04-13T16:22:39.452,Agree,Agree,,,
21,2020-04-14T00:00:00.000,MI,27001,1366.0,1768,166.0,2020-04-13T16:22:39.452,Agree,Agree,,,
22,2020-04-14T00:00:00.000,MS,3360,273.0,122,11.0,2020-04-13T16:22:39.452,Agree,Agree,,,
23,2020-04-14T00:00:00.000,WI,3555,127.0,170,16.0,2020-04-13T16:22:39.452,Agree,Agree,,,
24,2020-04-14T00:00:00.000,IL,23247,1222.0,868,74.0,2020-04-13T16:22:39.452,Agree,Agree,,,
25,2020-04-14T00:00:00.000,CA,23338,990.0,758,71.0,2020-04-13T16:22:39.452,Not agree,Not agree,,,
26,2020-04-14T00:00:00.000,TX,14624,718.0,318,31.0,2020-04-13T16:22:39.452,Not agree,Not agree,,,
27,2020-04-14T00:00:00.000,PR,923,20.0,45,0.0,2020-04-13T16:22:39.452,Agree,Agree,,,
28,2020-04-14T00:00:00.000,NJ,68824,4240.0,2805,362.0,2020-04-13T16:22:39.452,Not agree,Agree,,,
29,2020-04-14T00:00:00.000,NC,5024,208.0,108,22.0,2020-04-13T16:22:39.452,Agree,Agree,,,
30,2020-04-14T00:00:00.000,LA,21518,502.0,1013,129.0,2020-04-13T16:22:39.452,Not agree,Agree,,,
