,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
0,2020-06-09T00:00:00.000,CO,28347,25787.0,2560,164.0,4,1553,1233.0,320,10.0,1,2020-06-10T20:56:25.490,Agree,Agree
1,2020-06-09T00:00:00.000,FL,64448,,,1070.0,0,2765,,,53.0,0,2020-06-10T20:56:25.490,Not agree,Not agree
2,2020-06-09T00:00:00.000,AZ,28296,27998.0,298,618.0,298,1070,1004.0,66,23.0,66,2020-06-10T20:56:25.490,Agree,Agree
3,2020-06-09T00:00:00.000,SC,15228,15228.0,0,428.0,0,568,568.0,0,11.0,0,2020-06-10T20:56:25.490,Agree,Agree
4,2020-06-09T00:00:00.000,CT,44179,42182.0,1997,87.0,-78,4097,3266.0,831,13.0,-14,2020-06-10T20:56:25.490,Agree,Agree
5,2020-06-09T00:00:00.000,NE,15883,,,131.0,0,191,,,3.0,0,2020-06-10T20:56:25.490,Not agree,Not agree
6,2020-06-09T00:00:00.000,KY,11708,11419.0,289,232.0,25,477,475.0,2,5.0,0,2020-06-10T20:56:25.490,Agree,Agree
7,2020-06-09T00:00:00.000,WY,970,760.0,210,10.0,-2,17,17.0,0,0.0,0,2020-06-10T20:56:25.490,Agree,Agree
8,2020-06-09T00:00:00.000,IA,22237,,,249.0,0,624,,,10.0,0,2020-06-10T20:56:25.490,Not agree,Not agree
9,2020-06-09T00:00:00.000,NM,9105,,,43.0,0,404,,,4.0,0,2020-06-10T20:56:25.490,N/A,Not agree
10,2020-06-09T00:00:00.000,ND,2901,,,21.0,0,72,,,0.0,0,2020-06-10T20:56:25.490,Not agree,Not agree
11,2020-06-09T00:00:00.000,WA,24354,,,313.0,0,1176,,,15.0,0,2020-06-10T20:56:25.490,N/A,N/A
12,2020-06-09T00:00:00.000,RMI,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2020-06-10T20:56:25.490,Agree,Agree
13,2020-06-09T00:00:00.000,TN,27759,27575.0,184,630.0,-1,450,435.0,15,14.0,0,2020-06-10T20:56:25.490,Agree,Agree
14,2020-06-09T00:00:00.000,AS,0,,,0.0,0,0,,,0.0,0,2020-06-10T20:56:25.490,,
15,2020-06-09T00:00:00.000,MA,103889,99955.0,3934,263.0,63,7408,7255.0,153,55.0,17,2020-06-10T20:56:25.490,Agree,Agree
16,2020-06-09T00:00:00.000,PA,76846,74684.0,2162,410.0,24,6062,,,48.0,-68,2020-06-10T20:56:25.490,Agree,Not agree
17,2020-06-09T00:00:00.000,NYC,209716,205011.0,4705,425.0,-10,21960,17255.0,4705,42.0,-10,2020-06-10T20:56:25.490,Agree,Agree
18,2020-06-09T00:00:00.000,OH,39162,36355.0,2807,325.0,47,2421,2196.0,225,17.0,-2,2020-06-10T20:56:25.490,Agree,Agree
19,2020-06-09T00:00:00.000,AL,21422,21071.0,351,-8.0,0,729,725.0,4,1.0,1,2020-06-10T20:56:25.490,Agree,Agree
20,2020-06-09T00:00:00.000,VA,52177,49785.0,2392,439.0,16,1514,1408.0,106,18.0,1,2020-06-10T20:56:25.490,Agree,Agree
21,2020-06-09T00:00:00.000,MI,64998,59107.0,5891,297.0,189,5943,5698.0,245,31.0,6,2020-06-10T20:56:25.490,Agree,Agree
22,2020-06-09T00:00:00.000,MS,18483,18351.0,132,715.0,9,868,851.0,17,31.0,1,2020-06-10T20:56:25.490,Agree,Agree
23,2020-06-09T00:00:00.000,WI,21308,21308.0,0,270.0,0,661,661.0,0,15.0,0,2020-06-10T20:56:25.490,Agree,Agree
24,2020-06-09T00:00:00.000,IL,129936,129212.0,724,797.0,0,6196,6018.0,178,94.0,0,2020-06-10T20:56:25.490,Agree,Agree
25,2020-06-09T00:00:00.000,CA,133489,,,2170.0,0,4697,,,44.0,0,2020-06-10T20:56:25.490,Not agree,Not agree
26,2020-06-09T00:00:00.000,TX,77253,,,1637.0,0,1853,,,17.0,0,2020-06-10T20:56:25.490,Not agree,Not agree
27,2020-06-09T00:00:00.000,PR,5185,1386.0,3799,139.0,126,142,63.0,79,0.0,0,2020-06-10T20:56:25.490,Agree,Agree
28,2020-06-09T00:00:00.000,NJ,164796,,,299.0,0,12303,12303.0,0,89.0,0,2020-06-10T20:56:25.490,Not agree,Agree
29,2020-06-09T00:00:00.000,NC,37160,37160.0,0,676.0,0,1029,1029.0,0,23.0,0,2020-06-10T20:56:25.490,Agree,Agree
30,2020-06-09T00:00:00.000,LA,43612,,,562.0,0,2957,2844.0,113,13.0,0,2020-06-10T20:56:25.490,Not agree,Agree
31,2020-06-09T00:00:00.000,OK,7163,7152.0,11,91.0,0,361,361.0,0,2.0,0,2020-06-10T20:56:25.490,Agree,Agree
32,2020-06-09T00:00:00.000,NV,10030,,,225.0,-19,444,,,-17.0,-19,2020-06-10T20:56:25.490,,
33,2020-06-09T00:00:00.000,ID,3220,2914.0,306,31.0,5,85,65.0,20,2.0,0,2020-06-10T20:56:25.490,Agree,Agree
34,2020-06-09T00:00:00.000,GA,53249,,,752.0,0,2285,,,77.0,0,2020-06-10T20:56:25.490,Not agree,Not agree
35,2020-06-09T00:00:00.000,IN,38033,,,410.0,0,2339,2158.0,181,23.0,0,2020-06-10T20:56:25.490,Not agree,Agree
36,2020-06-09T00:00:00.000,NY,171789,,,343.0,0,8391,,,29.0,0,2020-06-10T20:56:25.490,Not agree,Not agree
37,2020-06-09T00:00:00.000,MD,59465,,,561.0,0,2844,2719.0,125,33.0,0,2020-06-10T20:56:25.490,N/A,Agree
38,2020-06-09T00:00:00.000,AR,10080,,,340.0,0,161,,,6.0,0,2020-06-10T20:56:25.490,Not agree,Not agree
39,2020-06-09T00:00:00.000,OR,4988,4841.0,147,66.0,147,169,168.0,1,5.0,1,2020-06-10T20:56:25.490,Agree,Agree
40,2020-06-09T00:00:00.000,MN,28869,,,346.0,0,1267,1236.0,31,39.0,20,2020-06-10T20:56:25.490,N/A,Agree
41,2020-06-09T00:00:00.000,MO,14913,,,179.0,0,840,,,21.0,0,2020-06-10T20:56:25.490,Not agree,Not agree
42,2020-06-09T00:00:00.000,UT,12704,12704.0,0,275.0,0,128,128.0,0,2.0,0,2020-06-10T20:56:25.490,Agree,Agree
43,2020-06-09T00:00:00.000,WV,2179,2105.0,74,18.0,2,84,,,0.0,0,2020-06-10T20:56:25.490,Agree,Not agree
44,2020-06-09T00:00:00.000,DE,10056,9111.0,945,36.0,-1,413,389.0,24,3.0,0,2020-06-10T20:56:25.490,Agree,Agree
45,2020-06-09T00:00:00.000,SD,5523,,,52.0,0,68,67.0,1,3.0,0,2020-06-10T20:56:25.490,N/A,Agree
46,2020-06-09T00:00:00.000,RI,15691,,,49.0,0,808,,,9.0,0,2020-06-10T20:56:25.490,Not agree,N/A
47,2020-06-09T00:00:00.000,NH,5132,,,53.0,0,294,,,8.0,0,2020-06-10T20:56:25.490,Not agree,Not agree
48,2020-06-09T00:00:00.000,DC,9474,,,85.0,0,495,,,4.0,0,2020-06-10T20:56:25.490,,
49,2020-06-09T00:00:00.000,KS,10650,10650.0,0,0.0,0,236,,,0.0,0,2020-06-10T20:56:25.490,Agree,N/A
50,2020-06-09T00:00:00.000,ME,2606,2322.0,284,18.0,1,100,,,1.0,0,2020-06-10T20:56:25.490,Agree,N/A
51,2020-06-09T00:00:00.000,MT,554,554.0,0,6.0,0,18,18.0,0,0.0,0,2020-06-10T20:56:25.490,Agree,Agree
52,2020-06-09T00:00:00.000,HI,644,,,7.0,1,17,,,0.0,0,2020-06-10T20:56:25.490,Not agree,Not agree
53,2020-06-09T00:00:00.000,AK,573,,,10.0,0,11,,,1.0,0,2020-06-10T20:56:25.490,N/A,N/A
54,2020-06-09T00:00:00.000,GU,180,,,0.0,0,5,,,0.0,0,2020-06-10T20:56:25.490,Not agree,Not agree
55,2020-06-09T00:00:00.000,VT,1084,,,9.0,0,55,,,0.0,0,2020-06-10T20:56:25.490,Not agree,Not agree
56,2020-06-09T00:00:00.000,VI,71,,,0.0,0,6,,,0.0,0,2020-06-10T20:56:25.490,,
57,2020-06-09T00:00:00.000,MP,30,30.0,0,2.0,0,2,2.0,0,0.0,0,2020-06-10T20:56:25.490,Agree,Agree
58,2020-06-09T00:00:00.000,FSM,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2020-06-10T20:56:25.490,Agree,Agree
59,2020-06-09T00:00:00.000,PW,0,,,0.0,0,0,,,0.0,0,2020-06-10T20:56:25.490,,
