,State,Population
0,Puerto Rico,3193694
1,West Virginia,1792147
2,U.S. Virgin Islands,104914
3,Illinois,12671821
4,Vermont,623989
5,Connecticut,3565287
6,American Samoa,55641
7,Mississippi,2976149
8,New York,19453561
9,Rhode Island,1059361
10,Pennsylvania,12801989
11,Michigan,9986857
12,New Jersey,8882190
13,Maine,1344212
14,Ohio,11689100
15,New Mexico,2096829
16,Kansas,2913314
17,Wisconsin,5822434
18,Northern Mariana Islands,55194
19,Missouri,6137428
20,Louisiana,4648794
21,Alabama,4903185
22,Wyoming,578759
23,Kentucky,4467673
24,Alaska,731545
25,New Hampshire,1359711
26,Arkansas,3017825
27,Iowa,3155070
28,Indiana,6732219
29,Guam,165718
30,Hawaii,1415872
31,Maryland,6045680
32,Massachusetts,6949503
33,Oklahoma,3956971
34,Nebraska,1934408
35,California,39512223
36,Minnesota,5639632
37,Virginia,8535519
38,Tennessee,6833174
39,Montana,1068778
40,Delaware,973764
41,South Dakota,884659
42,Georgia,10617423
43,North Carolina,10488084
44,Oregon,4217737
45,South Carolina,5148714
46,Washington,7614893
47,North Dakota,762062
48,Arizona,7278717
49,Idaho,1787065
50,Nevada,3080156
51,Florida,21477737
52,Colorado,5758736
53,Texas,28995881
54,Utah,3205958
55,District of Columbia,705749
56,Contiguous United States,325386357
57,The fifty states,327533795
58,Fifty states + D.C.,328300544
59,Total U.S. (including D.C. and territories),331814684
